,CAS_Number,Chemical_Name,Species_Scientific_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Mean_Op,Exposure_Type,Media_Type,Test_Location,Number_of_Doses,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,ld50_variance,ld50_se,ld50_se_+/-CI,ld50_sd,ld50_sd_+/-CI,Pval,DF,Chisq,HarzardRatio,notes_ld50,sample_size,paper code,notes,corresponding_author_email,Effect,Endpoint,Response_Site,aq_ter,,Title,Publication_Year,Observed_Duration_Days,Observed_Duration_Units_Days,Chemical_short,family,genus,Observed_Response_Units_std,Observed_Response_Mean_std,Observed_Response_Min_std,Observed_Response_Max_std
79,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,>=6,0.0373,0.0297,0.0466,ug/org,,,,,,,,,,,60,11,SI listed but no original data,helen.thompson@syngenta.com,Mortality,LD50,Not reported,Terrestrial,,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,37.3,29.7,46.6
88,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,No substrate,Lab,>=6,0.0112,0.00915,0.0135,ug/org,,,,,,,,,,,60,11,SI listed but no original data,helen.thompson@syngenta.com,Mortality,LD50,Not reported,Terrestrial,,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,11.2,9.15,13.5
94,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,>=6,0.124,0.0768,0.328,ug/org,,,,,,,,,,,60,11,SI listed but no original data,helen.thompson@syngenta.com,Mortality,LD50,Not reported,Terrestrial,,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,124,76.8,328
99,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,No substrate,Lab,>=6,0.0641,0.0322,0.417,ug/org,,,,,,,,,,,60,11,SI listed but no original data,helen.thompson@syngenta.com,Mortality,LD50,Not reported,Terrestrial,,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,64.1,32.2,417
160,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,>=6,0.00739,0.00607,0.00903,ug/org,,,,,,,,,,,60,11,SI listed but no original data,helen.thompson@syngenta.com,Mortality,LD50,Not reported,Terrestrial,,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Clothianidin,Apidae,Apis,ng/org,7.39,6.07,9.03
161,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,>=6,0.035,0.0155,0.0607,ug/org,,,,,,,,,,,60,11,SI listed but no original data,helen.thompson@syngenta.com,Mortality,LD50,Not reported,Terrestrial,,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Clothianidin,Apidae,Apis,ng/org,35,15.5,60.7
17,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,6-8,0.0179,0.0092,0.0315,AI ug/org,,,,,,,,,,,137,12,SI not provided,michael_roe@ncsu.edu,Mortality,LD50,Not reported,Terrestrial,,"Mechanism for the Differential Toxicity of Neonicotinoid Insecticides in the Honey Bee, Apis mellifera",2004,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,17.9,9.2,31.5
104,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,6-8,0.0299,0.0208,0.0429,AI ug/org,,,,,,,,,,,144,12,SI not provided,michael_roe@ncsu.edu,Mortality,LD50,Not reported,Terrestrial,,"Mechanism for the Differential Toxicity of Neonicotinoid Insecticides in the Honey Bee, Apis mellifera",2004,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,29.9,20.8,42.9
155,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,6-8,0.0218,0.0102,0.0465,AI ug/org,,,,,,,,,,,174,12,SI not provided,michael_roe@ncsu.edu,Mortality,LD50,Not reported,Terrestrial,,"Mechanism for the Differential Toxicity of Neonicotinoid Insecticides in the Honey Bee, Apis mellifera",2004,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,21.8,10.2,46.5
216,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,6-8,7.07,4.57,11.2,AI ug/org,,,,,,,,,,,465,12,SI not provided,michael_roe@ncsu.edu,Mortality,LD50,Not reported,Terrestrial,,"Mechanism for the Differential Toxicity of Neonicotinoid Insecticides in the Honey Bee, Apis mellifera",2004,1,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,7070,4570,11200
18,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Diet, unspecified",No substrate,Lab,5-7,0.063,0.047,0.076,AI ng/org,,,,,,,,,,,1080,13,SI provided,hventura@eag.com,Mortality,LD50,Not reported,Terrestrial,,Agrochemical Synergism Imposes Higher Risk to Neotropical Bees than to Honeybees,2017,1.2083,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,0.063,0.047,0.076
72,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Partamona helleri,Not reported,NR,,"Diet, unspecified",No substrate,Lab,5-7,0.091,0.064,0.12,AI ng/org,,,,,,,,,,95% CI listed here as 0.064-0.012; not sure why the ECOTOX database bas the observed min and max as NA,522,13,SI provided,hventura@eag.com,Mortality,LD50,Not reported,Terrestrial,,Agrochemical Synergism Imposes Higher Risk to Neotropical Bees than to Honeybees,2017,1.2083,Day(s),Imidacloprid,Apidae,Partamona,AI ng/org,0.091,NA,NA
19,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Larva,2,,"Topical, general",No substrate,Lab,9,71.5,NA,NA,ng/org,,,,,,,,,,NR,135,14,SI listed but no original data,ecyang@ntu.edu.tw,Mortality,LD50,Not reported,Terrestrial,,Gene Expression Changes in Honey Bees Induced by Sublethal Imidacloprid Exposure During the Larval Stage,2017,1,Day(s),Imidacloprid,Apidae,Apis,ng/org,71.5,NA,NA
22,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,29.9,NA,NA,pg/org,,,,,,,8,40.2,,NR,2238,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Imidacloprid,Apidae,Apis,ng/org,0.0299,NA,NA
23,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,1.4,NA,NA,ug/org,,,,,,,8,40.2,,NR,2099,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Imidacloprid,Apidae,Apis,ng/org,1400,NA,NA
30,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,32.8,NA,NA,ng/org,,,,,,,8,55.39,,NR,2238,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Apidae,Apis,ng/org,32.8,NA,NA
58,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,0.23,NA,NA,pg/org,,,,,,,8,119.12,,NR,266,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Apidae,Bombus,ng/org,0.00023,NA,NA
59,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,4.69,NA,NA,pg/org,,,,,,,8,119.12,,NR,266,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Apidae,Bombus,ng/org,0.00469,NA,NA
65,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,3.2,NA,NA,pg/org,,,,,,,8,40.29,,NR,1080,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Megachilidae,Megachile,ng/org,0.0032,NA,NA
66,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,6.1,NA,NA,ng/org,,,,,,,8,40.29,,NR,1080,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Megachilidae,Megachile,ng/org,6.1,NA,NA
83,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,51.4,NA,NA,pg/org,,,,,,,8,0.000106,,NR,2238,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Apidae,Apis,ng/org,0.0514,NA,NA
84,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,34.7,NA,NA,pg/org,,,,,,,8,0.000106,,NR,2099,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Apidae,Apis,ng/org,0.0347,NA,NA
102,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,2.9,NA,NA,ng/org,,,,,,,8,20,,NR,2238,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Thiamethoxam,Apidae,Apis,ng/org,2.9,NA,NA
103,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,0.02,NA,NA,pg/org,,,,,,,8,20,,NR,2099,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Thiamethoxam,Apidae,Apis,ng/org,2.00E-05,NA,NA
137,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,22.6,NA,NA,pg/org,,,,,,,8,113.19,,NR,266,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Apidae,Bombus,ng/org,0.0226,NA,NA
138,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,98.2,NA,NA,pg/org,,,,,,,8,113.19,,NR,266,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Apidae,Bombus,ng/org,0.0982,NA,NA
141,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,5,NA,NA,pg/org,,,,,,,8,152.84,,NR,1080,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Megachilidae,Megachile,ng/org,0.005,NA,NA
142,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,98,NA,NA,pg/org,,,,,,,8,152.84,,NR,1080,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Megachilidae,Megachile,ng/org,0.098,NA,NA
153,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,36.7,NA,NA,pg/org,,,,,,,8,0.000308,,NR,2238,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Apidae,Apis,ng/org,0.0367,NA,NA
154,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,2.6,NA,NA,pg/org,,,,,,,8,0.000308,,NR,2099,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Apidae,Apis,ng/org,0.0026,NA,NA
166,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,6.36,NA,NA,pg/org,,,,,,,8,4.01,,NR,2238,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Clothianidin,Apidae,Apis,ng/org,0.00636,NA,NA
167,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,0.013,NA,NA,pg/org,,,,,,,8,4.01,,NR,2099,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Clothianidin,Apidae,Apis,ng/org,1.30E-05,NA,NA
197,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,1.87,NA,NA,ng/org,,,,,,,8,319.6,,NR,266,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Apidae,Bombus,ng/org,1.87,NA,NA
198,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,94.5,NA,NA,pg/org,,,,,,,8,319.6,,NR,266,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Apidae,Bombus,ng/org,0.0945,NA,NA
203,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,6.00E-04,NA,NA,pg/org,,,,,,,8,39.5,,NR,1080,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Megachilidae,Megachile,ng/org,6.00E-07,NA,NA
204,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,14.1,NA,NA,pg/org,,,,,,,8,39.5,,NR,1080,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Megachilidae,Megachile,ng/org,0.0141,NA,NA
213,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,72.6,NA,NA,ug/org,,,,,,,8,42.6,,NR,2238,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Acetamiprid,Apidae,Apis,ng/org,72600,NA,NA
214,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,21.5,NA,NA,ng/org,,,,,,,8,42.6,,NR,2099,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Acetamiprid,Apidae,Apis,ng/org,21.5,NA,NA
220,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,9.1,NA,NA,ug/org,,,,,,,8,85.68,,NR,2238,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Acetamiprid,Apidae,Apis,ng/org,9100,NA,NA
240,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,300,NA,NA,ug/org,,,,,,,8,67.16,,NR,266,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Acetamiprid,Apidae,Bombus,ng/org,3.00E+05,NA,NA
244,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,9.3,NA,NA,ug/org,,,,,,,8,57.8,,NR,1080,15,SI not provided,danica.baines@agr.gc.ca,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Acetamiprid,Megachilidae,Megachile,ng/org,9300,NA,NA
24,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,"Topical, general",No substrate,Lab,>=7,0.15,0.05,0.32,ug/org,,1.26,0.15,,,,,,,slope+/-SE,310,16,SI listed but no original data,thesmokesdude@aol.com,Mortality,LD50,Not reported,Terrestrial,,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,150,50,320
71,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Osmia cornifrons,Adult,NR,,"Topical, general",No substrate,Lab,>=7,3.82,1.65,12.6,ug/org,,1.09,0.15,,,,,,,slope+/-SE,522,16,SI listed but no original data,thesmokesdude@aol.com,Mortality,LD50,Not reported,Terrestrial,,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Imidacloprid,Megachilidae,Osmia,ng/org,3820,1650,12600
215,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Adult,NR,,"Topical, general",No substrate,Lab,>=7,64.6,38.1,252,ug/org,,1.39,0.41,,,,,,,slope+/-SE,245,16,SI listed but no original data,thesmokesdude@aol.com,Mortality,LD50,Not reported,Terrestrial,,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Acetamiprid,Apidae,Apis,ng/org,64600,38100,252000
245,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Osmia cornifrons,Adult,NR,,"Topical, general",No substrate,Lab,>=7,4,1.1,7.1,ug/org,,0.97,0.18,,,,,,,slope+/-SE,272,16,SI listed but no original data,thesmokesdude@aol.com,Mortality,LD50,Not reported,Terrestrial,,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Acetamiprid,Megachilidae,Osmia,ng/org,4000,1100,7100
246,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Osmia cornifrons,Adult,NR,,"Topical, general",No substrate,Lab,>=7,5.2,2.1,9,ug/org,,1.05,0.18,,,,,,,slope+/-SE,242,16,SI listed but no original data,thesmokesdude@aol.com,Mortality,LD50,Not reported,Terrestrial,,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Acetamiprid,Megachilidae,Osmia,ng/org,5200,2100,9000
25,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,20,>,Food,No substrate,Lab,6,0.1,NA,NA,ug/org,,,,0.1,0.04,,,,,meanLD50+/-SD,180,17,SI not provided,orsi@fmvz.unesp.br,Mortality,LD50,Not reported,Terrestrial,,Influence of Agrochemicals Fipronil and Imidacloprid on the Learning Behavior of Apis mellifera L. Honeybees.,2013,0.0833,Day(s),Imidacloprid,Apidae,Apis,ng/org,100,NA,NA
26,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,NR,37,NA,NA,ng/org,,,,37,10,,,,,meanLD50+/-SD,540,18,SI not provided,belzunce@avignon.inra.fr,Mortality,LD50,Not reported,Terrestrial,,Discrepancy Between Acute and Chronic Toxicity Induced by Imidacloprid and Its Metabolites in Apis mellifera,2001,3,Day(s),Imidacloprid,Apidae,Apis,ng/org,37,NA,NA
27,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,NR,37,NA,NA,ng/org,,,,37,10,,,,,meanLD50+/-SD,540,18,SI not provided,belzunce@avignon.inra.fr,Mortality,LD50,Not reported,Terrestrial,,Discrepancy Between Acute and Chronic Toxicity Induced by Imidacloprid and Its Metabolites in Apis mellifera,2001,4,Day(s),Imidacloprid,Apidae,Apis,ng/org,37,NA,NA
28,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,NR,57,NA,NA,ng/org,,,,57,28,,,,,meanLD50+/-SD,540,18,SI not provided,belzunce@avignon.inra.fr,Mortality,LD50,Not reported,Terrestrial,,Discrepancy Between Acute and Chronic Toxicity Induced by Imidacloprid and Its Metabolites in Apis mellifera,2001,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,57,NA,NA
31,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Larva,NR,,Food,No substrate,Lab,6,4.17,2.96,5.85,ug/org,,,,,,,,,,,180,19,SI listed but no original data,daipingli@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Acute Toxicity of Five Pesticides to Apis mellifera Larvae Reared In Vitro,2017,3,Day(s),Imidacloprid,Apidae,Apis,ng/org,4170,2960,5850
